room_id,时间,任务id,标签,prompt,event_id,图片,是否保存,agent/sop/mcp,uid,国家
MTc2MjY5ODA0Nw-e64f3a1a1e5d4c9d975d241f1b722625-17702864875008,"2026-02-05 18:21:15",27E8F5E207B74A3DAA24F23136D95096,"意图：线上电商
行业：未提及
平台：Shopify
物料：商品主图
国家：没有提到
功能：变清晰,图片美化
AI洞察：用户的核心动机是提升独立站商品主图的专业感和吸引力，潜在需求是提供一键优化电商图片的工具，这类需求在电商运营中具有高频和高价值特点。",我要把这张图片作为我独立站的主图，帮我调整合适的清晰度，或者其他小变动使它成为一张合适的独立站主题，要求质感真实没有AI感,请求,未上传,-,"agent：commerce
sop：生成通用商品套图
mcp：-
sop状态：执行SOP",1762698047,中国
4F9FD8B9-803A-413F-AE75-B2CA268A06AC,"2026-02-05 14:19:27",B33FC4E008764C178A4EC0320D95B619,"意图：个人生活
行业：宠物与宠物用品
平台：没有提到
物料：人像照片
国家：没有提到
功能：合成图片,物品精修,人像精修
AI洞察：用户的核心动机是创造高度真实的宠物互动场景，潜在需求是宠物玩具与宠物行为的动态合成技术，这类需求在宠物主人社群中有较高的分享和情感价值。","球ai感太重 我需要生成的编织草球与我发送的编织草球保持一致性，还原我发送的草球的纹理，狗脸上的毛要多一些纹理感，确保真实自然，狗眼睛盯着草球沉浸式撕咬，撕扯出的草因重力呈弯曲形态，球的体积在缩小两倍",请求,未上传,-,"agent：commerce
sop：通用换背景
mcp：-
sop状态：执行SOP",1915355882,中国
NjUzMjcyNzQ-c5ed23093d914674a3874418b15c2862-17702715865161,"2026-02-05 14:10:51",47C146FF0A134E2597CFD198B2BF331A,"意图：个人生活
行业：没有提到
平台：没有提到
物料：人像照片
国家：没有提到
功能：换脸
AI洞察：用户的核心动机是进行人像照片的个性化修改，潜在需求是提供高质量、多样化的真实人脸库，确保替换后的人脸自然且符合要求。这类需求在个人写真、艺术创作等领域有较高价值。","在不改变原图构图、姿势、人物位置、光影和摄影风格的前提下，
仅替换当前图片中每个人物的面部。

严格要求：
- 修改五官与肤色及发型和发色
- 保持头部角度、表情、眼神方向完全一致
- 不改变服装、背景
- 每个面孔不重复，全是新的欧美人脸面孔
- 新面孔必须是真实人类面孔，非AI感",请求,https://roboneo-private.meitudata.com/roboneo/convert_save/1664A14D_c3cc3451b6562ddd03fcd984cf983311.png,-,"agent：portrait
sop：
mcp：-
sop状态：未召回SOP",65327274,中国
NjUzMjcyNzQ-a281e41be5554bb19e2ca8249060c0ee-17702713328315,"2026-02-05 14:05:22",1F46E30754E348BAA29763E038D0E4EA,"意图：个人生活
行业：没有提到
平台：没有提到
物料：人像照片
国家：没有提到
功能：换脸
AI洞察：用户的核心动机是进行多人像照片的面部替换，潜在需求是批量处理多人脸替换服务，确保每张面孔自然且不重复。这类需求在团队照片、家庭写真等领域有较高价值。","在不改变原图构图、姿势、人物位置、光影和摄影风格的前提下，
仅替换当前图片中每个人物的面部。

严格要求：
- 修改五官与肤色及发型和发色
- 保持头部角度、表情、眼神方向完全一致
- 不改变服装、背景
- 每个面孔不重复，全是新的面孔
- 新面孔必须是真实人类面孔，非AI感",请求,https://roboneo-private.meitudata.com/roboneo/convert_save/2D985D49_19d96b469b3ffe83df4acd57b02199d0.png,-,"agent：portrait
sop：
mcp：-
sop状态：未召回SOP",65327274,中国
NjUzMjcyNzQ-c18525caec48431287a53a38fda08da2-17702704169391,"2026-02-05 13:50:30",C93E8B9791AE4F82B66F5D4706B15402,"意图：个人生活
行业：没有提到
平台：没有提到
物料：人像照片
国家：没有提到
功能：换脸
AI洞察：用户的核心动机是进行人像照片的个性化修改，潜在需求是提供高精度的人脸替换服务，确保自然真实且符合原图风格。这类需求在个人写真、艺术创作等领域有较高价值。","在不改变原图构图、姿势、人物位置、光影和摄影风格的前提下，
仅替换当前选中人物的面部。

严格要求：
- 修改五官与肤色及发型和发色
- 保持头部角度、表情、眼神方向完全一致
- 不改变服装、背景
- 每个面孔不重复，全是新的面孔
- 新面孔必须是真实人类面孔，非AI感",请求,https://roboneo-private.meitudata.com/roboneo/convert_save/30620EAF_7f7ba2334ebad74d57579bb7b302c60b.png,-,"agent：portrait
sop：
mcp：-
sop状态：未召回SOP",65327274,中国
6fb1ac05-e2ea-4508-b204-85e79f0b84bd,"2026-02-05 11:22:43",6EDD44B36356439E849A9BE61C78B88E,"意图：社交媒体
行业：宠物与宠物用品
平台：没有提到
物料：视频封面
国家：没有提到
功能：生成海报
AI洞察：用户希望通过AI技术创造独特的萌宠内容，潜在需求是提供AI驱动的创意内容生成工具，支持动态特效和主题定制，以满足社交媒体平台的多样化内容需求。","1. 萌宠AI吃播

· 主题色： 暖橙色（激发食欲）
· 核心画面：
  · 前景： 一只可爱的卡通猫咪或狗狗，戴着未来感护目镜，坐在高科技食物托盘前。
  · 盘中食物： 不是普通食物，而是悬浮的、发光的像素化鸡腿或罐头，周围有小小的二进制代码（0101）飘出。
  · 背景： 简洁的现代化厨房背景，带有科技线条。
· 标题排版： “AI吃播 | 今天解码罐头能量！”（标题放在下方统一标题板上）
· AI感点睛： 宠物眼睛里有细微的数据流划过，食物有轻微的全息投影质感。

2. 萌宠AI跳舞

· 主题色： 动感紫色
· 核心画面：
  · 前景： 同一只宠物形象，但姿态是正在跳舞的剪影或动态姿势（如后腿站立，前爪挥舞）。
  · 特效： 身体周围有动态的彩色音乐波形、霓虹光圈或粒子特效，脚下是一个发光的圆形小舞台。
  · 背景： 深色舞台背景，有虚拟的聚光灯和闪烁的星星。
· 标题排版： “AI舞蹈室 | 新节拍已加载完毕！”
· AI感点睛： 舞蹈动作线条可以带有轻微的“数字残影”效果。

3. 萌宠搞笑视频

· 主题色： 活泼蓝绿色
· 核心画面：
  · 前景： 同一只宠物形象，陷入一个滑稽的“AI故障”场景。例如：
    · 被一堆表情包（如“笑哭”“狗头”）淹没。
    · 头顶冒出一个巨大的、扭曲的“ERROR”（错误）弹窗，或一个加载失败的图标。
    · 身体轻微像素化或出现故障条纹，表情一脸懵。
  · 背景： 简单的室内或户外场景，但有一些飘浮的“乱码”或“弹幕”。
· 标题排版： “AI日常 | 程序又出BUG啦！”
· AI感点睛： “ERROR”弹窗或故障特效是核心，突出搞笑与AI的结合。",请求,未上传,-,"agent：character
sop：
mcp：-
sop状态：未召回SOP",1537933198,中国
4c1cd274-d09b-48ca-b3f1-f617a6b74cc1,"2026-02-05 11:15:16",E1380F5CC36E4A7F87A3EE6A9CEBBA2E,"意图：社交媒体
行业：宠物与宠物用品
平台：没有提到
物料：视频封面
国家：没有提到
功能：生成人物写真,添加内容
AI洞察：用户的核心动机是创造吸引眼球的社交媒体内容，潜在需求是提供定制化的卡通宠物形象设计服务，支持动态特效和科技感元素，以增强互动和分享。","1. 萌宠AI吃播

· 主题色： 暖橙色（激发食欲）
· 核心画面：
  · 前景： 一只可爱的卡通猫咪或狗狗，戴着未来感护目镜，坐在高科技食物托盘前。
  · 盘中食物： 不是普通食物，而是悬浮的、发光的像素化鸡腿或罐头，周围有小小的二进制代码（0101）飘出。
  · 背景： 简洁的现代化厨房背景，带有科技线条。
· 标题排版： “AI吃播 | 今天解码罐头能量！”（标题放在下方统一标题板上）
· AI感点睛： 宠物眼睛里有细微的数据流划过，食物有轻微的全息投影质感。

2. 萌宠AI跳舞

· 主题色： 动感紫色
· 核心画面：
  · 前景： 同一只宠物形象，但姿态是正在跳舞的剪影或动态姿势（如后腿站立，前爪挥舞）。
  · 特效： 身体周围有动态的彩色音乐波形、霓虹光圈或粒子特效，脚下是一个发光的圆形小舞台。
  · 背景： 深色舞台背景，有虚拟的聚光灯和闪烁的星星。
· 标题排版： “AI舞蹈室 | 新节拍已加载完毕！”
· AI感点睛： 舞蹈动作线条可以带有轻微的“数字残影”效果。

3. 萌宠搞笑视频

· 主题色： 活泼蓝绿色
· 核心画面：
  · 前景： 同一只宠物形象，陷入一个滑稽的“AI故障”场景。例如：
    · 被一堆表情包（如“笑哭”“狗头”）淹没。
    · 头顶冒出一个巨大的、扭曲的“ERROR”（错误）弹窗，或一个加载失败的图标。
    · 身体轻微像素化或出现故障条纹，表情一脸懵。
  · 背景： 简单的室内或户外场景，但有一些飘浮的“乱码”或“弹幕”。
· 标题排版： “AI日常 | 程序又出BUG啦！”
· AI感点睛： “ERROR”弹窗或故障特效是核心，突出搞笑与AI的结合。",请求,未上传,-,"agent：character
sop：
mcp：-
sop状态：未召回SOP",1537933198,中国
1237041e-5b4b-48e9-9193-68cf775529be,"2026-02-05 10:57:45",F94186078E3E49869CD41069C244A9FD,"意图：线下品牌
行业：生活服务
平台：没有提到
物料：通知海报
国家：中国
功能：生成海报
AI洞察：用户的核心需求是快速生成符合中国传统节日氛围的营业通知，潜在需求是提供模板化、可定制的节日海报生成服务，支持多场景、多行业的快速适配，提升小型商户的品牌形象和客户沟通效率。","帮我设计一个春节放假通知
文案是 排版上中下三块 第一块是泊舍酒店2026年春节放假通知
中间那块是放假时间2月17日（大年初一）-2月20日（正月初四）
最后一块是初五正常营业
字体要金色 好看的字体 工整排版 不要ai感  背景红色背景带点年味",请求,未上传,-,"agent：poster
sop：生成中国农历新年春节海报
mcp：-
sop状态：执行SOP",1245183952,中国
1237041e-5b4b-48e9-9193-68cf775529be,"2026-02-05 10:48:19",5FD893B210A9465F94A5B3B2E9DEAF9D,"意图：线下品牌
行业：生活服务
平台：没有提到
物料：通知海报
国家：中国
功能：生成海报
AI洞察：用户的核心需求是快速生成符合中国传统节日氛围的营业通知，潜在需求是提供模板化、可定制的节日海报生成服务，支持多场景、多行业的快速适配，提升小型商户的品牌形象和客户沟通效率。","帮我设计一个春节放假通知
文案是 泊舍酒店2026年春节放假通知
放假时间2月17日（大年初一）-2月20日（正月初四）
初五正常营业
字体要金色 好看的字体 工整排版 不要ai感  背景红色背景带点年味",请求,未上传,-,"agent：poster
sop：生成中国农历新年春节海报
mcp：-
sop状态：执行SOP",1245183952,中国
1237041e-5b4b-48e9-9193-68cf775529be,"2026-02-03 11:53:43",5FD893B210A9465F94A5B3B2E9DEAF9D,"意图：线下品牌
行业：生活服务
平台：没有提到
物料：通知海报
国家：中国
功能：生成海报
AI洞察：用户的核心需求是快速生成符合中国传统节日氛围的营业通知，潜在需求是提供模板化、可定制的节日海报生成服务，支持多场景、多行业的快速适配，提升小型商户的品牌形象和客户沟通效率。","帮我设计一个春节放假通知
文案是 谭家小馆2026年春节放假通知
放假时间2月17日（大年初一）-2月19日（正月初三）
初四正常营业
字体要金色 好看的字体 工整排版 不要ai感  背景红色背景带点年味",请求,未上传,-,"agent：poster
sop：
mcp：-
sop状态：未召回SOP",1245183952,中国
